symbol,side,entry,tp,sl,updates
AAVE,SHORT,188.0,178.0,192.47,"@Xvek Notif 
$BIGTIME LONG TRADE:
0.7655
sl: 0.7462
Tp: 0.81 | Tp1 taken thats 1R @Xvek Notif | @Xvek Notif bigtime be smashed

Today pnut sl
Pnut tp
Bigtime be
Aave sl
Pepe up 27% 5R
Bigtime up 9% 2.5R 

Sht day i will try to improve and get better results tomorrow

Im very sorry for failing you guys , im trying my best

But my best is not enough
So i need to somehow manage to be enough for you guys ❤️

Because i was never enough for her 😔

So you guys dont leave me

Like she did 😔 | @Xvek Notif full tp smashed | any trade i post on weekend doesnt count
unless it smash tp
then it count
but if sl smash , im gonna say its weekend and not gonna count it
im learning from eliz my goat | If its up 1R for you take tp1 and manage the trade from here @Xvek Notif | @Xvek Notif tp1 and ur mom smashed | Tp2 here thats 2R @Xvek Notif | @Xvek Notif tp1 taken thats 1R
@Xvek Notif move sl be and manage it from here | @Xvek Notif tp1 here | Tp2 on wif and bigtime both 2R @Xvek Notif | ep: 0.21472
sl:0.21030
tp:0.2274 | @Xvek Notif popcat full tp smashed 3.5R 13% up | I have a confession to make..only reason why i am profitable/breakeven is kamaz , miku and sheikh | @Xvek Notif holding hbar to tp or sl , if you are over risked manage ur risk , or full port its your money 😭

But better manage ur risk | Move sl to be @Xvek Notif | Opsie i have this open
But it dumped 1R earlier
So thats tp1 for it
Welcome to scammers league | @Xvek Notif tp1 taken here | if sl smash
its part of the game
if tp smash
its part of the game
if i commit suicide
its part of the game
manage your risk | move sl be , its up 3% almost , take tp1 at 1.309

@Xvek Notif | active trades : 
hbar short , tp1 already smashed and its at 2R 
fart long , already sl be 
tnsr up in profit 
and popcat 

@Xvek Notif | move TNSR sl to be up , its already up 2% take tp1 at 0.1849 @Xvek Notif | TP1 smashed on tnsr perfectly 
@Xvek Notif | up 0.5R , move sl to be and take tp at 0.07812 @Xvek Notif | active trades : 
$HBAR SHORT already tp2 and 2R ,
$TNSR TP1 taken and sl is be 
$FART sl is be 
$BRETT SL is be 
$POPCAT running 
$TRX running 
@Xvek Notif | TP1 on fart taken here almost 1R @Xvek Notif | move sl to be its 0.5R @Xvek Notif | @Xvek Notif brett TP1 thats 1R 🥶 | MOVE SL BE ITS 0.5R , if you have better entry which i think most have ,just take tp1 , if you are up 1R @Xvek Notif | and take tp1 at 0.5755 | @Xvek Notif POPCAT TP1 taken here #「💸arena-testimonials」 | @Xvek Notif TRX TP1 here , thats 1R | @Xvek Notif TNSR FULL TP SMASHED 2.8R | @Xvek Notif tp2 brett taking here | @Xvek Notif fart smashed full tp 3R | Same with brett full tp | Trx tp2 here 3r also | remember is tp smash its good
if sl smash on both shorts
its no biggie
yd we had 6 tps
4 of them full tps
anyone who will mention me and say sl smashed
i will tell him that his mom on my cock | ok new rule , for every tp we smash im gonna do 10 dollars giveaway
so if hbar and tao both smash tp
thats 20 dollars
if sl smash on both i lose 500
so you guys recover me
ok?
seems fair | @Xvek Notif pepe down 2% move sl to be , just moving sl to break even , not closing it | @Xvek Notif HBAR TP1 TAKEN here thats 1R | @Xvek Notif move tao sl to be , already down 0.5R
so far , hbar tp1 smashed , tao sl at be , and pepe sl at be | i said tp1 on hbar cuz i had good entry and its more than 1R for me but if you had bad entry , just move sl to be | @Xvek Notif you can take tp on both tao and pepe both 0.8R
0.8R is better than no R | remember
sl smash = flame khabib
tp smash = flame khabib | If fet and brett smash tp i will do another giveaway today | @Xvek Notif tao short tp2 taken 2R here | oh true
nvm be hit
i just noticed that i didnt move be 😭
ok nvm tao was tp1
good one tyler sir | pepe down 1.8R
@Xvek Notif HBAR down 2R , tp2 here | up 2% , if you took move sl be and manage it from here , i will take tp1 at 0.078 thats 4% @Xvek Notif | @Xvek Notif hbar short smashed full tp 2R | @Xvek Notif tp1 smashed ,if i see 20 pnls in #「💸arena-testimonials」 im doing a giveaway | @Xvek Notif take tp1 here and move sl be | move  sl to be its down 2% , @Xvek Notif take tp1 at 1R | Ok guys , lets setup some lovely rules :

if any trade is posted here , i will update here and mention you all ,

If sl smashed i will update ,
If tp smashed i woll update

Dont enter at random spot and cry like cuck

And dont mention me with questions like :

is the trade valid ? Because everything related to the trades im gonna post here and mention you here 

Stop acting like clowns and cucks 🫵🏻😈 | @Xvek Notif take tp1 at fet at 0.7696 | @Xvek Notif pepe and fet still active .
wont share any more trades in weekends till those 2 tp or sl | Move fet sl to be @Xvek Notif | @Xvek Notif move sl to be up 2% | @Xvek Notif gm everyone tp1 taken 2R here | so basically guys to become profitable following my trades or everyone trades , i will give you some stuffs to follow : 
1: never enter the trade above entry , if its up more than 0.5% , dont enter it .
2: never risk more than 2-5% of your port on sl smash , for example , if your port is 1000 , maximum amount you will lose if the stoploss hit is 50 dollars , you can adjust leverage and margin based on stoploss . 
3: if the trade have 2 entries , you enter 50% of your position size on first entry , and the other 50% on the 2nd entry , to have better risk to reward.
4: you can close 75% of your position on tp1 , or more or less , most of times is always better to secure profits .
5: since we have more than 8 traders in the discord , you need to check everyone channel , check their past preformence , and follow 2 traders at max , you follow all their trades , you dont dip on a trader after smashing 1 or 2 sl , because you will end up switching traders and picking everyone sl and fade their tps .
6: if you are happy with your profits , or over risked in the trade , make sure to adjust your position size so you dont end up getting liq.
7: the most important one , if you are using isolated , make sure to lower the leverage so your liquidation is lower than the sl , so you dont end up losing the trade before the stoploss hit 
@Xvek Notif | @Xvek Notif tp2 taken in pepe
Was bad call to close this 😭
Fart still in action | @Xvek Notif moving sl to be | @Xvek Notif tp1 smashed | Tp2 , down 6% @Xvek Notif | Fart tp2 smash , pepe full tp smash , pnut closed in profits and brett sl , so everyone should be up for today @Xvek Notif | @Xvek Notif move sl to be im done for today | Tp1 taken @Xvek Notif | @Xvek Notif take tp1 here on pnut 0.5R | Guys im down like 4k for today 😭
Im a high leverage trader
I will make it back
Or get liq
Thats how u trade
Perma full port
Now im in 3 shorts
Brett
Wif
Bigtime
If they all smash to
Tp
I make half what i lost"
PNUT,SHORT,0.3194,0.2839,0.3295,"@Xvek Notif move sl to be | @Xvek Notif pnut tp1 smashed thats 1R | @Xvek Notif tao down 2.5% move sl to be | if its up 1R for you please take tp1 and move sl to be
im going to sleep | @Xvek Notif move sl to be | @Xvek Notif pnut tp1 taken here 1.5R | @Xvek Notif TP2 here , up 2.5R | im going to sleep , bigtime in profit up 2% and sl at be , pnut smashed tp and up 10% , good night guys cya tomorrow | @Xvek Notif tp1 taken here thats 1R | @Xvek Notif TP1 taken down 1.5R from our entry after 2 entries filled
#「💸arena-testimonials」 pnls now or else | Its close to 1R
@Xvek Notif move sl to be | @Xvek Notif move sl to be down 0.5R almost 2% down | stop selling on my you ngers 😭
hold it
to full tp | @Xvek Notif tp1 taken for popcat down 1R
IM SERIOUS IF I DONT SEE AT LEAST 15 pnls in #「💸arena-testimonials」 im deleting this channel | Tao tp 1.5R
Popcat 1R
aave in profit
Yd also fat killers

Yet people spread hate 😭
Bro only post sls | Moving my sl to be on brett @Xvek Notif up 2%

Fck you all | @Xvek Notif TP2 taken here down 9% , 3R | $TAO SHORT : down 10% 3.5R 
$POPCAT SHORT : down 11% 3R
$AAVE SHORT : down 3% almost at tp1 and 1R 
$BRETT LONG : stopped out at be 
$HBAR LONG : sl smashed -1.5% 

i would say everyone should be in good profits for today
@Xvek Notif if you are not in profit and you gonna come and say "" oh i missed all beside hbar "" i would say ur lying | @Xvek Notif TP1 smashed on aave"
FARTCOIN,SHORT,1.46981,1.27,1.50408,"@Xvek Notif 

Move sl to be | @Xvek Notif tp1 taken here , thats 1R
Post pnls in #「💸arena-testimonials」 | @Xvek Notif popcat smashed full tp | @MR BEAST move popcat sl to be up 2.5% | @Xvek Notif pepe tp1 taken here thats 1R | Move bigtime sl to be its up 2.5% after our dca @Xvek Notif | @Xvek Notif take tp1 on bigtime here up 3%
We had many killers and just 2 sl
Good weekend lads | Tp2 taken here thats 2R
@Xvek Notif | Move sl to be @Xvek Notif | so far this month : 
TRADES : 84 trades 
TP: 47
SL: 20
BE : 11
74.4% WR
52.6R
@Xvek Notif i will try to improve guys i know i wasnt the best | @Xvek Notif tp smashed
No more trades im taking break
Fck you
Amd fck fatty
And fck toni
And fck your moms
Cancer community"
TAO,LONG,443.14,455.62,430.67,
FARTCOIN,LONG,1.3753,1.467,1.31944,"Its very simple really
Its all about your risk tolerance
If your port is 1k and you risk 500 and you dont care about it
You are good to go
And if your port is 1k and u risk 20 and still stressed about it you should risk less
Its about you at the end
Because when you are stressed about a trade you close before tp and dca in red
So you end up ruining ur acc | And from now on all trades gonna be 1 tp , if you close before , your issue | I change my position size to 200k
So it works as magnet
For our ep
Tao bussin
I hope you all like the new fullly transparent trading
1 tp trades
1 sl
If i send my dog a phone
He can do copy | @Xvek Notif tao tp smashed | @Xvek Notif 

So we had popcat short tp
Ip tp
Tao tp
Fart in profit and pnut sl
Not the best day | not giving any trade till haedal smash tp
which is 0.205
so probably next month | @Xvek Notif moving my sl to be on haedal
now we wait for 35% pump | haedal unfazed with market dump
only up from here
2nd tp is 5 dollars
3rd tp is 1k | @Xvek Notif fet short trade
Ep sl and tp in charts | @Xvek Notif move fet sl to be | Tp
@Xvek Notif | @Xvek Notif pepe long trade , entry sl and tp in charts | @Xvek Notif fart down 2% from our average entry after both entries filled , move sl to be | so far this month : 
TRADES : 84 trades 
TP: 47
SL: 20
BE : 11
74.4% WR
52.6R
Still last 3 days trades i didnt add
Cuz im lazy | Wake up
Ngers
Its a tp smasher | @Xvek Notif sl to be | Tp1 tnsr here @Xvek Notif | @Xvek Notif

tp ep sl in charts | @Xvek Notif move fet sl to be up 2% | @Xvek Notif
Tp1 | @Xvek Notif avax sl smashed take tp2 on bigtime | @Xvek Notif move sl to be | @Xvek Notif tp here and good morning | tp1 taken here up 5%
today we  already up 2 tps
hbar and pepe limit | its always good to learn
so for the futures trades
if we hit sl or tp
you know why we hit sl or tp | @Xvek Notif move sl to be or close or hold up to you im going to sleep i cant open my eyes | @Xvek Notif sl to be in aave | @Xvek Notif moving my sl to be on bigtime im going to sleep | @Xvek Notif pepe full tp smashed
full tp on hbar @Xvek Notif
2R each total | Move sl to be @Xvek Notif | tp1 taken
here | @Xvek Notif tp2 | @Xvek Notif 
Ep sl and tp in chart
Jasmy short | @Xvek Notif move sl to be | Tp1 here @Xvek Notif | Tp1: 173.35
Tp2: 177.16 | Btc dom at its peak
We should see alts pumping very soon , aave smash tp hopefully | Ep: 0.04783
Sl : 0.04647
Tp1: 0.0491
Tp2: 0.051
Tp3: 0.054 | Sl be we are 1% away from tp | Tp1 here on bigtime its alrdy 1RR | Sl be on bigtime , tp1 taken ,

Aave running and in profit , sol setup is written above , i go sleep gn lads | Tp2 of bigtime here"
AAVE,SHORT,165.67,160.5 | 150.9,170.46,"Move sl to be , we are 0.6% from tp1 , you can trim some profits
And post in #「💸arena-testimonials」"
ETH,SHORT,1800.0,1735.0 | 1640.0 | 1534.0,1868.12,"😭😭😭 i lied
Tp1 smashed"
SOL,LONG,125.87,132.0 | 140.0,119.97,"Tp2 taken here , its down 3RR | sol up 2% after dca , you can move sl to be its 0.5RR now"
PEPE,SHORT,7.31e-06,6.9e-06,7.48e-06,"AAVE LONG BE
BIGTIME LONG 2R TP2 
AAVE SHORT 3R
ETH SHORT -0.1R 
SOL LONG almost at 1RR , and sl is be
lets see how pepe get played | sol tp 1 here its at 1RR"
BIGTIME,SHORT,0.04837,0.04519,0.05051,"I dca below the trend line setup still same sl and tp | Bigtime back to green , still holding to tp or sl | Incase anyone took , move sl to be its down 3% | Tp1 here | Bigtime back in green , incase you entered really late and you had a good entry , at least move sl to be , for me im playing setup fully | Sl to be | Tp1 | Full tp 3r | Tp1 taken here and put sl be
😈
Also this for people who hold 😭"
POPCAT,LONG,0.1856,0.1905 | 0.1934 | 0.2023,0.181,Tp1 smashed
INJ,LONG,8.69,8.94 | 9.5,8.45,"No longer closing be at any trade 😭

Sl or tp from now on
Still100% wr on bigtime"
FARTCOIN,SHORT,0.5315,0.5053 | 2.0 | 0.46725,0.55441,"popcat did tp1 , and closed at be after | Half way to tp , move sl to breakeven | TP1 here , 1R and if you took post in #「💸arena-testimonials」"
WIF,SHORT,0.413,0.3765,0.4282,take tp1 here
OK,SHORT,0.5315,0.5053 | 2.0 | 0.46725 | 0.5,0.55441,"and that should be a good lesson , why you should never enter the same setup after it hit tp
you are welcome goats 🗣️ 📢 🔥 | pepe setup , tp2 here , up 7.5% | Im gonna write an essay about how to follow the trades and how much you tp or when to put sl be , vote if you want or no 

Would make my life easier and yours also"
TNSR,LONG,0.151,0.1718,0.1477,"You can move sl be here its half way for 1R , im holding sl or full tp 

If you are i. Big position put sl be | Tp1 here | So to make it super simple ,

Tp= 10 dollars 
Sl = -10 dollars 

😭 waiting for market to stable a bit and dropping some killer to kill my self irl"
POPCAT,LONG,0.1577,0.1626 | 0.175,0.1531,
ETH,LONG,1535.0,1864.0,1491.86,"Setup tp1 at : 0.05777
That is 1R | Moving sl to be
Half way throw tp | Tp1 smash , post pnls in #「💸arena-testimonials」
Challenge balance now 60 dollars | Full tp bigtime here 2rr"
PEPE,SHORT,6.55e-06,5.81e-06,6.82e-06,
POPCAT,SHORT,0.1563,0.1395,0.1631,"Incase anyone took , move sl to be and trim some profit
I highly doubt anyone took ofc 😭"
HBAR,LONG,0.16448,0.17358,0.15891,"This is the trade number 4 in challenge :

first one was bigtime long = tp
Pepe short = -0.25r
Popcat short = sl 

Lets see this one | Moving sl to be , half way throw tp | If this goes to tp im gonna do giveaway with the profits , since my be didnt hit yet cuz i had lower entry , fck this boring market"
PEPE,SHORT,0.0721,0.069,0.0744,
MUBARAK,LONG,0.04051,0.04145,0.03992,"SL BE , half way to tp #「💸arena-testimonials」 | SL be half way to tp"
JASMY,LONG,0.0103,0.01095,0.00997,"1R here , manage your trade if you wanna trim some profits or hold for tp , looking for another killer | guys , when i said SL to BE , please do not close the position because it will fck up your risk to reward on the long run , if you are happy with your profit , sure you can close whenever you want , but i say sl at be , to have risk free trade | Pepe full tp smashed 1.5r | Ep: .46706
Sl: 0.48519
Tp: 0.41579 
When when 4h close below 0.46080 | Move sl to be and enjoy your weekends , if you took post it in #「💸arena-testimonials」 | Sol if it retest the trendline i would look for a short as long we are below the trendline , my tp would be 110 | Fart tp1 here | Tp2 | Full tp smashed 🥶🥶 | Move sl to be and take tp1"
PNUT,SHORT,0.1369,0.1272 | 0.5,0.1429,"$PEPE SHORT TRADE :
ep: .0646
Sl: 0.0669
Tp: 0.0587 | Sl be on pepe and take tp1 at 63 or below"
HBAR,LONG,0.15632,0.18208,0.14633,Take tp1 here 0.8r
PEPE,SHORT,0.6525,0.585,0.675,
HBAR,SHORT,0.16883,0.15632,0.17528,"Ballsy announcement : 
Hbar short will hit tp


Setup accuracy 110% | Also hbar you can move sl to breakeven at 0.16436
And take tp1 at : 0.16183 | Perfect rejection from our trendline , if you took also move sl to break even , its down 1.6% and take tp1 at 81600 | Popcat is down 4% , you can also move sl to be , i would take tp at 0.1577 | $POPCAT DOWN 10% , you can take tp 1 | $BTC DOWN 5% , you can take TP 1
$SOL DOWN 9% , you can also take tp1
manage your trades from here"
HBAR,SHORT,0.16873,0.15532,0.17518,"move sl be , we are half way to tp"
PNUT,SHORT,0.1466,0.1371,0.1501,"move sl to be , 1% away from tp1 , take tp1 at 0.1431 | Move sl be and take tp1, 
Gm all | Full tp smashed 2.7R simple w | Tp1 here | $TAO LIMIT LONG TRADE :
ep: 237.15 - 230
Sl3 224
Tp: 268 | Tp2 at 125 | Move sl to be , and trim some profit up almost 1R | Tao tp1 at 250 thats 1R | Tao smashed tp1 | If anyone held and didnt close when i said to close , you can move sl to be 😭😭"
WIF,LONG,0.4255,0.4651,0.4146,"Move sl to be , tp1 at 0.44
Good night guys"
POPCAT,SHORT,0.24675,0.2126,0.2572,
BIGTIME,LONG,0.06296,0.077,0.05915,"$HBAR LONG SETUP , if 4h close above our support , sl would be manual close if 4h close below , manage your risk , first tp is 0.1618"
FET,LONG,0.4667,0.4992,0.4513,"Tp1 here thats 1r , post in #「💸arena-testimonials」 if u took | up 7% from our entry , take tp1 , and move sl to be | up 5% from our entry , take tp1 , and move sl be
as per usual , if you took post in #「💸arena-testimonials」 | smashed full tp up 7% 2.11R | $JASMY SHORT TRADE:
ep: 0.1362
Sl: 0.01422
Tp: 0.01259 | Move sl to be , half way to tp1 at 0.01309"
POPCAT,SHORT,0.2435,0.2127 | 0.5,0.2521,"Move sl to BE , half way throw Tp1 , you can take tp1 at : 0.228"
TAO,SHORT,268.68,236.79,275.45,Take tp1 here almost 1R
SOL,SHORT,140.44,125.83,148.58,Move sol short sl to be i dont wanna risk in this weekend we sniped the top | Tp1 here | Tp2 | Full tp wif here 6%
SOL,LONG,139.615,167.67,136.84,"up 3% , move sl to be , sol long still running . | brett up 9% , take tp2 here"
PNUT,SHORT,0.13825,0.1335 | 0.13,0.141,Tp1 smashed
PNUT,LONG,0.1298,0.1335 | 0.1371 | 0.14,0.1261,"Ok pnut sl clutched so hard , now its at entry , im holding , if you are risking too much you can close or trim some , i think its a tp smasher | Move sl to Be | Tp1 here more than 1R , and manage the trade from here"
POPCAT,SHORT,0.3061,0.2661,0.3194,"Half way to TP , move sl to break even | again i repeat MOVE SL TO BE ON POPCAT , thanks ❤️"
BRETT,LONG,0.03339,0.03513 | 0.03833,0.03247,"popcat BE smashed , bret in profit
i wanted to take tp1 at 0.5r , but i didnt i hope some of you did | Brett , up 1.8% , move sl to BE  lets ride it risk free | just if anyone wondering why i put BE so early , everytime my trade is up 0.5R , i rather move sl to be , as long as you dont risk capital you can always make profit | brett up more than 1R , you can take tp1 here
i had bad entry cuz i was editing the trade in the channel fck you guys | Take tp2 here 🥶🥶
Also brett smashed also 😭 | brett up 9% , tp2 taken here thats 3R 🥶 | down 3% , im playing the full setup , if you took move sl to be or not up 2 u imo it will nuke | Pnut full tp smashed 3.64R | Brett full tp smash"
TAO,SHORT,340.535,316.15 | 304.5 | 280.81,356.29,"Move sl to be @Xvek Notif
Same with fet | Tp1 here 1R @Xvek Notif make sure to post in #「💸arena-testimonials」 if u took | Tao smashed be , after it was down 3% , fet smashed tp1 , i hope you all made some money today , market a bit stuck in middle @Xvek Notif"
HBAR,SHORT,0.18074,0.17368 | 0.16886,0.1855,"For anyone thats wondering 

Ep= entry price
Sl= stoploss 
Tp= take profit 

Ur mom also on my dn = deeznuts"
AAVE,SHORT,168.81,157.7,171.96,Move sl to be @Xvek Notif
WIF,LONG,0.635,0.706,0.6113,@Xvek Notif move sl to be | Its 1R from 2nd entry so you can book tp1 @Xvek Notif and manage the trade from here | 2R here tp2 @Xvek Notif | @Xvek Notif full tp smashed 2.1R 10% up
TAO,LONG,336.185,368.03,322.27,
WIF,LONG,0.64,0.6666 | 2.0 | 0.71,0.6128,
BIGTIME,SHORT,0.07846,0.06981,0.08156,@Xvek Notif move sl to be half way to tp1 | Take tp1 at 0.07535 @Xvek Notif | Tp1 taken here on bigtime short thats 1R @Xvek Notif wif sl recovered
POPCAT,SHORT,0.4181,0.3422,0.4556,
SOL,LONG,146.5,153.0,143.55,"Move sl be and take tp1 at 149.5 @Xvek Notif | @Xvek Notif good morning everyone , sol smashed be when it was 0.2% away from tp1 , moving in to the next one"
WIF,LONG,0.596,0.64,0.5765,"Move wif sl to be and take tp1 at 0.613 thats 1R @Xvek Notif
Wif mom = on my cock | @Xvek Notif tp1 smashed #「💸arena-testimonials」"
PNUT,LONG,0.1705,0.1774 | 0.1892,0.1659,"Almost 2% up move sl to be @Xvek Notif | If hbar smash sl , we know who to blame
We blame khalil
Because khalil is our black sheep
Tp smashed = im the goat
Sl smashed = khalil crashed the market with his longs | Pnut tp2 here up 8% @Xvek Notif | Good morning everyone , take tp1 here its up 1.5R , and move sl be
@Xvek Notif | you can full tp pnut here"
SOL,SHORT,151.66,146.0 | 140.0,155.18,"sol should be filled for all , if sl smsh we blame khalil if tp smash im the goat . | @Xvek Notif move sl to be , im not touching this dead slow coin ever .

At least i trade it risk free | $TAO LONG SETUP : 
I have alert on 358-360
Im waiting for the price to touch my trend line , if it holds above you can long , and the sl would be 4h close below the trendline 

If you want you can setup another alert at 338.7 and long from there 

The sl would be 4h close below that lvl 

So its 2 long setups
One at the trendline
And one at support

As per usual manage your risk 

Tp would be at 368 @Xvek Notif | Gm all sol tp1 here its 1R @Xvek Notif"
PNUT,LONG,0.1705,0.1774 | 0.1905,0.1664,"Guys if pnut pump 1% more , move sl to be , so when its 0.5R move sl be , im going to bed my e-mommy is yelling at me throw the discord 25h long call @Xvek Notif | @Xvek Notif tao setup is up 4% take tp1 and move sl be | Tp1 taken here @Xvek Notif 🥶🥶😈🫵🏻 thats 1r | So far 
Sol tp1
Tao tp1
Pnut tp1
Aave tp1 loading 

Get ready for 20sl inc | For anyonewho didnt close aave take tp1 | Its ok
Sol 
Pnut
Tao tp
And we have 2 sl so wr good | Gonna bully you when tp smash | Also sol tp2 here @Xevk | Also pepe tp1 here also down 7% @Xvek Notif"
BRETT,LONG,0.05293,0.06,0.05061,
AAVE,LONG,173.52,178.0 | 190.0,166.61,"Moving sl to be means move sl to be dont sell on me ngers 😭😭 @Xvek Notif | Ok blacklisted wif no biggie guys , brett in profit , soon aave and fet and brett smash tp
And we recover the sls
Its not a sprint its amarathon | @Xvek Notif 
Brett take tp1 at 0.055 thats 1R | @Xvek Notif tp1 on brett up 5% almost more than 1R | Also aave tp1 smashed , move sl be @Xvek Notif | @Xvek Notif move sl to be its up 2% | @Xvek Notif tp1 here , and move sl be its 1R | Move sl to be and take tp1 here its 2% almost @Xvek Notif | Move sl to be down 0.5R alrdy 

@Xvek Notif | @Xvek Notif tp1 taken here thats 1R | You can also take tp1 here , thats 1R 
@Xvek Notif | Gm all ,

1R here move sl to be and take tp1 @Xvek Notif | Also pepe take tp1 here up 2% @Xvek Notif | @Xvek Notif 
$HBAR LONG TRADE: 
Ep: 0.1742
Sl: .17067
Tp:0.179-0.182 | @Xvek Notif short brett
Ep: .05186
Sl: 0.5397
Tp: 0.04495 | Wif tp1 smashed up 6% @Xvek Notif | Tp2 taken here thats 2R @Xvek Notif | retested and pumped 4% , take tp1 here @Xvek Notif | @Xvek Notif wif full tp smashed 3r almost"
